Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
"Hawaii State Department of Health, Adult Mental Health Division",HI,Healthcare Provider,674,11/20/2012,Hacking/IT Incident,Desktop Computer,No
L.A. Care Health Plan,CA,Health Plan,18000,11/17/2012,Other,Other,No
CHRISTUS St. John Hospital,TX,Healthcare Provider,5748,11/16/2012,Loss,Other Portable Electronic Device,No
Maryville Academy,IL,Healthcare Provider,3897,11/8/2012,Loss,Other Portable Electronic Device,No
Memorial Health System,CO,Healthcare Provider,6262,11/7/2012,Loss,Paper/Films,No
Women and Infant's Hospital ,RI,Healthcare Provider,14004,11/5/2012,Loss,Other Portable Electronic Device,No
"WYATT DENTAL GROUP, LLC",LA,Healthcare Provider,10271,11/5/2012,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,No
Miami Beach Healthcare Group Ltd. dba Aventura Hospital and Medical Center,FL,Healthcare Provider,2560,11/5/2012,Theft,Electronic Medical Record,No
Indiana University,IN,Health Plan,3266,11/5/2012,Theft,Laptop,No
Union County Board of Developmental Disabilities,OH,Health Plan,1420,11/5/2012,Theft,Laptop,No
Henry Ford Health System,MI,Healthcare Provider,2777,11/5/2012,Loss,"Other, Other Portable Electronic Device",No
"University of Illinois, College of Nursing",IL,Business Associate,508,11/2/2012,Theft,Paper/Films,Yes
QUANTERION SOLUTIONS INC,NY,Business Associate,1017,11/1/2012,Theft,Network Server,Yes
"Waipahu Aloha Clubhouse, Privacy Manager Breach",HI,Healthcare Provider,674,10/31/2012,Unauthorized Access/Disclosure,Desktop Computer,No
Memorial Hospital,OH,Healthcare Provider,500,10/29/2012,Improper Disposal,Paper/Films,No
CVS Caremark,RI,Healthcare Provider,955,10/26/2012,Theft,Paper/Films,No
SwedishAmerican Health System,IL,Healthcare Provider,1500,10/26/2012,Theft,Paper/Films,No
Health Care Service Corporation,IL,Health Plan,501,10/26/2012,Theft,Paper/Films,No
"Logan Community Resources, Inc.",IN,Healthcare Provider,2900,10/23/2012,Hacking/IT Incident,Network Server,No
"First Step Counseling, Inc.",NJ,Healthcare Provider,638,10/23/2012,Theft,Paper/Films,No
L.A. Care Health Plan,CA,Health Plan,18000,10/22/2012,Other,Paper/Films,No
"Philip P Corneliuson, DDS, INC.",CA,Healthcare Provider,980,10/22/2012,Theft,Desktop Computer,No
"Coastal home Respiratory, LLP",GA,Healthcare Provider,3440,10/18/2012,Theft,Other,No
"Alere Home Monitoring, Inc",CA,Healthcare Provider,116506,10/18/2012,Theft,Laptop,No
"Blount Memorial Hospital, Inc",TN,Healthcare Provider,27799,10/17/2012,Theft,Laptop,No
Gulf Coast Health Care Services Inc,FL,Healthcare Provider,13000,10/15/2012,"Hacking/IT Incident, Theft, Unauthorized Access/Disclosure",Network Server,No
"Alexander J. Tikhtman, M.D.",KY,Healthcare Provider,2376,10/12/2012,Theft,Other Portable Electronic Device,No
"Apria Healthcare, Inc.",CA,Healthcare Provider,65700,10/10/2012,Theft,Laptop,No
"PST Services, Inc",GA,Business Associate,13074,10/8/2012,Improper Disposal,Paper/Films,Yes
"Cabinet for Health and Family Services, Department for Community Based Services",KY,Healthcare Provider,2500,9/19/2012,Unauthorized Access/Disclosure,Email,No
"St. Therese Medical Group, Inc",CA,Healthcare Provider,3031,9/17/2012,Theft,Desktop Computer,No
Cox Health,MO,Healthcare Provider,2435,9/17/2012,Theft,Laptop,No
The Feinstein Institute for Medical Reserch,NY,Healthcare Provider,13000,9/14/2012,Theft,Laptop,No
"BHcare, Inc",CT,Healthcare Provider,5827,9/14/2012,Theft,"Laptop, Other Portable Electronic Device",No
"Ecco Health, LLC",NV,Business Associate,5713,9/14/2012,Loss,Other Portable Electronic Device,Yes
"Valley Plastic Surgery, P.C.",VA,Healthcare Provider,4873,9/13/2012,Theft,Other Portable Electronic Device,No
University of New Mexico Health Sciences Center,NM,Healthcare Provider,2365,9/12/2012,Hacking/IT Incident,Network Server,No
University of Miami,FL,Healthcare Provider,64846,9/7/2012,"Other, Unauthorized Access/Disclosure",Paper/Films,No
"Charlotte Clark-Neitzel, MD",WA,Healthcare Provider,942,9/7/2012,Theft,Laptop,No
Sierra Plastic Surgery,NV,Healthcare Provider,800,9/5/2012,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,No
Tricounty Behavioral Health Clinic,GA,Healthcare Provider,4000,8/31/2012,Theft,Laptop,No
"Cancer Care Group, P.C.",IN,Healthcare Provider,55000,8/28/2012,Theft,Other Portable Electronic Device,No
LANA MEDICAL CARE,FL,Healthcare Provider,500,8/28/2012,Theft,Laptop,No
Central States Southeast and Siouthwest Areas Health & Welfare Fund,IL,Health Plan,754,8/21/2012,"Other, Unauthorized Access/Disclosure",Paper/Films,No
The University of Texas MD Anderson Cancer Center,TX,Healthcare Provider,2264,8/17/2012,Loss,Other Portable Electronic Device,No
"Liberty Resources, Inc.",PA,Healthcare Provider,3183,8/17/2012,Theft,Laptop,No
Memorial Healthcare System,FL,Healthcare Provider,105646,8/16/2012,Theft,Electronic Medical Record,No
"Apria Healthcare, Inc., Privacy Manager Breach",CA,Healthcare Provider,11000,8/15/2012,Theft,Laptop,No
"Heartland Pathology Associates, P.A.",FL,Healthcare Provider,1175,8/15/2012,Theft,Other Portable Electronic Device,No
TEMPLE COMMUNITY HOSPITAL,CA,Healthcare Provider,603,8/15/2012,Theft,Desktop Computer,No
"Siemens Medical Solutions, USA",PA,Business Associate,66601,8/10/2012,Theft,Laptop,Yes
Harris County Hospital District,TX,Healthcare Provider,2875,8/3/2012,Theft,"Electronic Medical Record, Paper/Films",No
"Stanford Hospital & Clinics and School of Medicine, Privacy Manager Breach",CA,Healthcare Provider,2300,8/3/2012,Theft,Desktop Computer,No
Oregon Health & Science University,OR,Healthcare Provider,702,7/31/2012,Theft,Other,No
VNA Health Care Hartford Hospital,CT,Healthcare Provider,7461,7/31/2012,Theft,Laptop,No
EMC,CT,Business Associate,7461,7/30/2012,Theft,Laptop,Yes
Walgreen Co.,IL,Healthcare Provider,1240,7/30/2012,Theft,Paper/Films,No
Northwestern Memorial Hospital,IL,Healthcare Provider,4211,7/27/2012,Theft,"Laptop, Other Portable Electronic Device",No
Jeffrey Paul Edelstein M.D.,AZ,Healthcare Provider,4800,7/27/2012,Theft,Network Server,No
Kindred Healthcare Inc d/b/a Kindred Transitional Care and Rehabilitation-Sellersburg,IN,Healthcare Provider,1504,7/25/2012,Theft,Other,No
"The Surgeons of Lake County, LLC",IL,Healthcare Provider,7067,7/25/2012,Hacking/IT Incident,Network Server,No
NYU School of Medicine Faculty Group Practice,NY,Healthcare Provider,8488,7/23/2012,Theft,Desktop Computer,No
Beth Israel Deaconess Medical Center,MA,Healthcare Provider,3900,7/20/2012,Theft,Laptop,No
Pamlico Medical Equipment LLC,NC,Healthcare Provider,2917,7/17/2012,Loss,Other Portable Electronic Device,No
Molalla Family Dental,OR,Healthcare Provider,4354,7/16/2012,"Hacking/IT Incident, Other, Unauthorized Access/Disclosure",Network Server,No
"Hamner Square Dental, Privacy Manager Breach",CA,Healthcare Provider,1112,7/16/2012,"Loss, Theft, Unauthorized Access/Disclosure, Unknown",Other Portable Electronic Device,No
Visiting Nurse Services of Iowa,IA,Healthcare Provider,1298,7/16/2012,Theft,Paper/Films,No
"Patterson Dental, Inc.",MN,Business Associate,2533,7/13/2012,"Loss, Unauthorized Access/Disclosure, Unknown",Other Portable Electronic Device,Yes
SwedishAmerican Health System,IL,Healthcare Provider,1500,7/12/2012,Theft,Paper/Films,No
Health Texas Provider Network - Cardiovascular Consultants of North Texas,TX,Healthcare Provider,2462,7/5/2012,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Sharon L. Rogers, Ph.D., ABPP",TX,Healthcare Provider,585,7/3/2012,Theft,Laptop,No
"Bruce G. Peller, DMD, PA",NC,Healthcare Provider,9953,6/25/2012,Unauthorized Access/Disclosure,Desktop Computer,No
Karen Kietzman,MT,Healthcare Provider,708,6/22/2012,Theft,"Laptop, Other Portable Electronic Device",No
Wolf & Yun,KY,Healthcare Provider,824,6/22/2012,Theft,Laptop,No
University of Kentucky HealthCare,KY,Healthcare Provider,4490,6/19/2012,Theft,Laptop,No
"Gessler Clinic, P.A.",FL,Healthcare Provider,1409,6/14/2012,Theft,Paper/Films,No
Memorial Sloan-Kettering Cancer Center,NY,Healthcare Provider,568,6/8/2012,Theft,"Email, Other",No
"Robert Witham, MD, FACP",OR,Healthcare Provider,11136,6/6/2012,Theft,Desktop Computer,No
"Metcare of Florida, Inc.",FL,Healthcare Provider,2557,6/4/2012,Theft,Other Portable Electronic Device,No
PrevMED,MD,Business Associate,1444,6/4/2012,Theft,Laptop,Yes
Charlie Norwood VA Medical Center,GA,Healthcare Provider,824,6/4/2012,Loss,Other Portable Electronic Device,No
"Volunteer State Health Plan, Inc. ",TN,Health Plan,1102,5/31/2012,Loss,Paper/Films,No
Lutheran Community Services Northwest,WA,Healthcare Provider,756,5/29/2012,Theft,"Desktop Computer, Other Portable Electronic Device",No
Titus Regional Medical Center,TX,Healthcare Provider,500,5/26/2012,Theft,Other,No
Titus Regional Medical Center,TX,Healthcare Provider,5700,5/26/2012,Loss,Laptop,No
Independence Physical Therapy,CT,Healthcare Provider,925,5/25/2012,Theft,Desktop Computer,No
"Phoebe Putney Memorial Hospital, Inc. ",GA,Healthcare Provider,12937,5/24/2012,Theft,"Electronic Medical Record, Paper/Films",No
Physician's Automated Laboratory,CA,Healthcare Provider,745,5/23/2012,Theft,Paper/Films,No
"Data Image, Inc.",OH,Business Associate,15000,5/22/2012,Unauthorized Access/Disclosure,Other,Yes
Children's Hospital Boston,MA,Healthcare Provider,2159,5/22/2012,Theft,Laptop,No
Ameritas Life Insurance Corp. ,NE,Health Plan,3000,5/21/2012,Theft,Laptop,No
"Luz Colon, DPM  Podiatry ",FL,Healthcare Provider,1137,5/19/2012,"Loss, Theft",Laptop,No
Duke University Health System,NC,Healthcare Provider,591,5/18/2012,Unauthorized Access/Disclosure,Other,No
West Dermatology,CA,Healthcare Provider,1900,5/18/2012,Theft,Other,No
UnitedHealth Group health plan single affiliated covered entity,MN,Health Plan,19100,5/18/2012,Unauthorized Access/Disclosure,Other,No
Our Lady of the Lake Regional Medical Center,LA,Healthcare Provider,17000,5/18/2012,"Loss, Theft",Laptop,No
St. Mary Medical Center,CA,Healthcare Provider,3900,5/14/2012,Loss,Other Portable Electronic Device,No
Family Health Services Minnesota PA,MN,Healthcare Provider,4000,5/14/2012,Theft,Laptop,No
Hogan Services Inc. Health Care Premium Plan,MO,Health Plan,1134,5/11/2012,Unauthorized Access/Disclosure,Email,No
Iowa Department of Human Services,IA,Health Plan,3000,5/11/2012,Improper Disposal,Paper/Films,No
Rite Aid Store 1343,WV,Healthcare Provider,2905,5/10/2012,Theft,Paper/Films,No
University of Houston for UH College of Optometry,TX,Healthcare Provider,7000,5/8/2012,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,No
Baptist Health System,AL,Healthcare Provider,1655,5/4/2012,Improper Disposal,Paper/Films,No
"Stephen Haggard, DPM Podiatry ",WA,Healthcare Provider,1597,5/4/2012,Theft,Network Server,No
"Oakland Vision Services, PC",MI,Healthcare Provider,3000,5/3/2012,Hacking/IT Incident,Network Server,No
IntraCare North Hospital,TX,Healthcare Provider,750,5/3/2012,Theft,Paper/Films,No
"Safe Ride Services, Inc",AZ,Healthcare Provider,42000,5/1/2012,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,No
Thomas Jefferson University Hospitals,PA,Healthcare Provider,590,4/30/2012,Theft,Paper/Films,No
SHIELDS For Families ,CA,Healthcare Provider,961,4/26/2012,Theft,Network Server,No
Oregon Health Authority,OR,Healthcare Provider,550,4/26/2012,Theft,Paper/Films,No
South Carolina Department of Health and Human Services,SC,Health Plan,228435,4/24/2012,Unauthorized Access/Disclosure,Email,No
"TLC Dental Dania, LLC",FL,Healthcare Provider,750,4/23/2012,Theft,Paper/Films,No
University of Arkansas for Medical Sciences,AR,Healthcare Provider,7121,4/20/2012,Unauthorized Access/Disclosure,Other,No
Desert AIDS Project,CA,Healthcare Provider,4400,4/20/2012,Theft,Desktop Computer,No
Emory Healthcare,GA,Healthcare Provider,315000,4/18/2012,"Other, Unknown",Other,No
"DRD Management, Inc. D/B/A DRD Knoxville Medical Clinic - Central",TX,Healthcare Provider,1000,4/16/2012,Improper Disposal,Paper/Films,No
"Roy E. Gondo, M.D.",WA,Healthcare Provider,2100,4/13/2012,Theft,"Desktop Computer, Electronic Medical Record",No
Memorial Healthcare System,FL,Health Plan,9497,4/13/2012,Other,Other,No
Rhinebeck Health Center/Center for Progressive Medicine,NY,Healthcare Provider,6745,4/12/2012,Theft,"Desktop Computer, Network Server",No
IU Medical Group,IN,Healthcare Provider,1000,4/12/2012,Improper Disposal,Paper/Films,No
Utah Department of Technology Services,UT,Business Associate,780000,4/11/2012,Hacking/IT Incident,Network Server,Yes
David Charles Rish,CA,Business Associate,2000,4/10/2012,Theft,Other,Yes
HealthLOGIX,MI,Business Associate,555,4/10/2012,Unauthorized Access/Disclosure,Paper/Films,Yes
Affinity Health Plan,NY,Health Plan,933,4/10/2012,Unauthorized Access/Disclosure,Email,No
"AccentCare Home Health of California, Inc. Medicare # 057564    CA state License # 080000226",CA,Healthcare Provider,1000,4/10/2012,Unauthorized Access/Disclosure,Email,No
The Neighborhood Christian Clinic,AZ,Healthcare Provider,9565,4/9/2012,Loss,Other Portable Electronic Device,No
St. Elizabeth's Medical Center,MA,Healthcare Provider,6831,4/6/2012,Loss,Paper/Films,No
County of Wayne Department of Personnel/Human Resources Benefits Administration Division,MI,Health Plan,1229,4/6/2012,Unauthorized Access/Disclosure,Email,No
Lake Granbury Medicl Ceter,TX,Healthcare Provider,502,4/4/2012,Theft,Paper/Films,No
CenterLight Healthcare,NY,Health Plan,642,4/3/2012,Unauthorized Access/Disclosure,Email,No
St. Joseph's Medical Center,CA,Healthcare Provider,712,3/29/2012,Theft,Paper/Films,No
Duke University Health System,NC,Healthcare Provider,1370,3/23/2012,Unauthorized Access/Disclosure,Other,No
"Caremark PCS Health, L.L.C. (formerly known as Caremark PCS Health, L.P.)",IL,Business Associate,3482,3/23/2012,Other,Paper/Films,Yes
Chicago Muscoskeletal Institute,IL,Healthcare Provider,750,3/23/2012,Unauthorized Access/Disclosure,Network Server,No
"Baylor Heart and Vascular Center, LLP",TX,Healthcare Provider,1972,3/16/2012,Theft,Other Portable Electronic Device,No
Georgia Health Sciences University,GA,Healthcare Provider,513,3/15/2012,Theft,Laptop,No
"T&P Consulting, INC DBA Quantum HC",PR,Business Associate,7606,3/15/2012,Theft,"Laptop, Other Portable Electronic Device",Yes
Advanced Clinical Research Institute,CA,Health Plan,875,3/14/2012,Theft,Paper/Films,No
Quantum Health Consulting,PR,Business Associate,7923,3/13/2012,Theft,Laptop,Yes
"William F. DeLuca Jr., M.D.",NY,Healthcare Provider,577,3/13/2012,Theft,Laptop,No
Kern Medical Center ,CA,Healthcare Provider,1431,3/12/2012,Theft,Paper/Films,No
"T&P Consulting, INC. d/b/a Quantum Health Consulting",PR,Business Associate,27098,3/12/2012,Theft,Laptop,Yes
Quantum Health Consulting,PR,Business Associate,4645,3/12/2012,Theft,Laptop,Yes
"T & P Consulting, Inc. d/b/a Quantum Health Consulting",PR,Business Associate,10000,3/12/2012,Theft,"Laptop, Other Portable Electronic Device",Yes
Indiana Internal Medicine Consultants,IN,Healthcare Provider,20000,3/9/2012,Theft,Laptop,No
Robley Rex VA Medical Center ,KY,Healthcare Provider,1182,3/6/2012,Other,Paper/Films,No
Anchorage Community Mental Health Services Inc.,AK,Healthcare Provider,2743,3/3/2012,Unauthorized Access/Disclosure,Desktop Computer,No
"Jeremaih J. Twomey, F.A.C.P., P.A.",TX,Business Associate,2559,3/2/2012,Theft,Other,Yes
Lee Miller Rehabilitation Associates,MD,Healthcare Provider,10480,2/29/2012,Theft,Network Server,No
"T&P CONSULTING, INC. D/B/A QUANTUM",PR,Business Associate,7706,2/28/2012,Theft,Laptop,Yes
"Catalyst Health Solutions, Inc.",MD,Business Associate,632,2/28/2012,Unauthorized Access/Disclosure,Other,Yes
"Beth Barrett Consulting, LLC",NM,Business Associate,7000,2/28/2012,Theft,Laptop,Yes
"CardioNet, Inc.",PA,Healthcare Provider,728,2/27/2012,Theft,Laptop,No
Dr. Trandinh,OR,Business Associate,2300,2/20/2012,"Theft, Unauthorized Access/Disclosure",Laptop,Yes
Ochsner Health System,LA,Healthcare Provider,2088,2/20/2012,Loss,Other Portable Electronic Device,No
Motion Picture Industry Health Plans (MPI),CA,Health Plan,703,2/15/2012,Theft,Other,No
Georgetown University Hospital,DC,Healthcare Provider,1549,2/15/2012,Unauthorized Access/Disclosure,Paper/Films,No
St. Joseph Health System,CA,Healthcare Provider,12234,2/15/2012,Unauthorized Access/Disclosure,Network Server,No
"Goshen Health System, Inc.",IN,Healthcare Provider,660,2/14/2012,Hacking/IT Incident,Other,No
Lakeview Medical Center,WI,Healthcare Provider,698,2/14/2012,Theft,Laptop,No
"Medco Health Solutions, Inc.",NJ,Healthcare Provider,1287,2/13/2012,Theft,Paper/Films,No
"Affiliated Computer Services, Inc.  (ACS, Inc.) A Xerox Company",NJ,Business Associate,1700,2/8/2012,Other,Other,Yes
Loma Linda University Medical Center (LLUMC),CA,Healthcare Provider,1366,2/8/2012,Other,Paper/Films,No
Accretive Health,IL,Business Associate,14000,2/6/2012,Theft,Laptop,Yes
"Triumph, LLC",NC,Healthcare Provider,2000,2/1/2012,Theft,Laptop,No
UnitedHealth Group health plan single affiliated covered entity,MN,Health Plan,6678,2/1/2012,Other,Paper/Films,No
University of Miami ,FL,Healthcare Provider,1219,1/30/2012,Theft,Other Portable Electronic Device,No
Metro Community Provider Network,CO,Healthcare Provider,3200,1/27/2012,"Hacking/IT Incident, Other",Email,No
Flex Physical Therapy,WA,Healthcare Provider,3100,1/27/2012,Theft,Desktop Computer,No
St.Vincent Physician Network,IN,Healthcare Provider,1423,1/26/2012,"Theft, Unauthorized Access/Disclosure",Paper/Films,No
"Oldendorf Medical Services, PLLC",NY,Healthcare Provider,549,1/24/2012,Theft,Laptop,No
"ACS, Affiliated Computer Services, Inc., A Xerox Company",VA,Business Associate,1444,1/23/2012,"Other, Unauthorized Access/Disclosure",Paper/Films,Yes
Muskogee Regional Medical Center,OK,Health Plan,844,1/20/2012,Loss,Other,No
Delta Dental of California,CA,Health Plan,11646,1/19/2012,Other,Paper/Films,No
Kansas Department on Aging,KS,Healthcare Provider,7757,1/19/2012,Theft,Laptop,No
Foundation Medical Partners,NH,Healthcare Provider,771,1/18/2012,Unauthorized Access/Disclosure,Paper/Films,No
Foundation Medical Partners,NH,Healthcare Provider,771,1/16/2012,Theft,Paper/Films,No
"WageWorks, Inc.",CA,Business Associate,1700,1/13/2012,Other,Paper/Films,Yes
RightNow Technologies,MT,Business Associate,2700,1/11/2012,Unauthorized Access/Disclosure,Other,Yes
"CardioNet, Inc",PA,Healthcare Provider,1300,1/10/2012,Theft,Laptop,No
Alamance Caswell Local Management Entity,NC,Business Associate,50000,1/10/2012,"Other, Unauthorized Access/Disclosure","Email, Network Server",Yes
Smile Designs,FL,Healthcare Provider,1670,1/6/2012,Theft,"Desktop Computer, Network Server",No
Sleep HealthCenters LLC,MA,Healthcare Provider,2988,12/28/2011,Theft,Laptop,No
Concentra Health,TX,Healthcare Provider,870,12/28/2011,Theft,Laptop,No
"Soundpath Health, Inc",WA,Health Plan,7581,12/23/2011,Theft,Laptop,No
Aegis Sciences Corporation,TN,Healthcare Provider,2185,12/21/2011,Theft,"Laptop, Other Portable Electronic Device",No
Molina Healthcare of California,CA,Health Plan,11081,12/17/2011,Other,Paper/Films,No
"Paul C. Brown, MD, PS",WA,Healthcare Provider,4693,12/15/2011,Theft,Other,No
Roberts S. Smith M.D. Inc.,GA,Healthcare Provider,17000,12/13/2011,Theft,Laptop,No
University of Nebraska Medical Center,NE,Healthcare Provider,611,12/9/2011,Theft,Paper/Films,No
Nation Wise Machine Buyers,IL,Business Associate,2000,12/9/2011,Improper Disposal,Paper/Films,Yes
Blue Vantage Group,NY,Business Associate,7226,12/9/2011,Unauthorized Access/Disclosure,Network Server,Yes
Rite Aid Corporation ,PA,Healthcare Provider,2900,12/7/2011,Other,Paper/Films,No
Contra Costa Health Services,CA,Healthcare Provider,4700,12/7/2011,Unauthorized Access/Disclosure,Paper/Films,No
"Jay C. Platt, DDS",IN,Healthcare Provider,10705,12/5/2011,Theft,Other,No
Cleveland Clinic Florida,FL,Healthcare Provider,772,12/1/2011,Loss,Other,No
State of Tennessee Sponsored Group Health Plan,TN,Health Plan,1770,11/28/2011,Unauthorized Access/Disclosure,Paper/Films,No
University of Kentucky UK HealthCare,KY,Healthcare Provider,878,11/23/2011,Loss,Other Portable Electronic Device,No
Sitka Wellness Center,AK,Healthcare Provider,566,11/22/2011,Unauthorized Access/Disclosure,Electronic Medical Record,No
Dallas County Hospital District dba Parkland Health & Hospital System,TX,Healthcare Provider,2464,11/17/2011,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper/Films",No
Medcenter One,ND,Healthcare Provider,650,11/17/2011,Theft,Laptop,No
Sutter Medical Foundation,AL,Healthcare Provider,943434,11/17/2011,Theft,Desktop Computer,No
"Mid Continent Credit Services, Inc.",KS,Business Associate,8275,11/14/2011,Theft,Other,Yes
"Amerigroup Community Care of New Mexico, Inc",NM,Health Plan,1537,11/13/2011,Theft,Paper/Films,No
Logan County Emergeny Ambulance Service Authority,WV,Healthcare Provider,12563,11/8/2011,"Loss, Theft",Laptop,No
UCLA Health System,CA,Healthcare Provider,2761,11/4/2011,Theft,"Other, Other Portable Electronic Device",No
Science Applications International Corporation (SA,VA,Business Associate,4900000,11/4/2011,Loss,Other,Yes
St. Joseph Medical Center,MD,Healthcare Provider,5000,11/3/2011,Theft,"Other, Paper/Films",No
Lebanon Internal Medicine Associates,PA,Healthcare Provider,55000,11/2/2011,Improper Disposal,Network Server,No
"KCI USA, Inc.",TX,Healthcare Provider,567,10/31/2011,Theft,"Other, Other Portable Electronic Device",No
"Julie A. Kennedy, D.M.D., P.A.",FL,Healthcare Provider,2900,10/31/2011,Theft,Network Server,No
Thresholds Inc.,MI,Business Associate,1100,10/28/2011,Theft,Paper/Films,Yes
Premier Imaging,NC,Healthcare Provider,551,10/28/2011,Unknown,Paper/Films,No
"Pitney Bowes Management Services, Inc.",CT,Business Associate,1089,10/28/2011,Theft,Desktop Computer,Yes
Morris Heights Health Center,NY,Healthcare Provider,927,10/27/2011,Theft,Laptop,No
Indiana University School of Optometry,IN,Healthcare Provider,757,10/25/2011,Theft,Network Server,No
"Brevard Emergency Services, P.A.",FL,Healthcare Provider,2200,10/25/2011,Theft,Paper/Films,No
Stone Oak Urgent Care & Family Practice,TX,Business Associate,6672,10/24/2011,"Loss, Theft",Desktop Computer,Yes
"HITS Scanning Solutions, Inc.",MO,Business Associate,7059,10/22/2011,Theft,Other,Yes
Conway Regional Medical Center,AR,Healthcare Provider,1472,10/21/2011,Loss,Other,No
"Spectrum Health Ssytems, Inc.  ",MA,Healthcare Provider,14750,10/20/2011,Theft,Desktop Computer,No
Mutual of Omaha Insurance Co,NE,Health Plan,705,10/18/2011,Theft,Other Portable Electronic Device,No
Lankenau Medical Center,PA,Healthcare Provider,500,10/17/2011,Theft,Other,No
"Thomas Jefferson University Hospitals, Inc.",PA,Healthcare Provider,3150,10/14/2011,Theft,Other,No
Florida Hospital,FL,Healthcare Provider,12784,10/13/2011,Unauthorized Access/Disclosure,Electronic Medical Record,No
Futurity First Insurance Group,CT,Business Associate,3994,10/11/2011,Theft,Other,Yes
Lahey Clinic,MA,Healthcare Provider,599,10/11/2011,Theft,Laptop,No
"InStep Foot Clinic, P.A.",MN,Healthcare Provider,2600,10/11/2011,Theft,"Electronic Medical Record, Laptop",No
"Adult & Pediatric Dermatology, PC",MA,Healthcare Provider,2200,10/7/2011,Theft,"Other, Other Portable Electronic Device",No
"Thomas J O'Laughlin, MD",CA,Business Associate,700,10/7/2011,"Theft, Unauthorized Access/Disclosure",Paper/Films,Yes
The Nemours Foundation,FL,Healthcare Provider,1055489,10/7/2011,Loss,Other,No
Indiana University,IN,Healthcare Provider,3266,10/4/2011,Theft,Laptop,No
Futurity First Insurance Group,CT,Business Associate,1631,10/3/2011,Loss,"Other, Other Portable Electronic Device",Yes
Henry Ford Health System,MI,Healthcare Provider,520,10/3/2011,Theft,Desktop Computer,No
MAPFRE Life,PR,Health Plan,2209,9/29/2011,Theft,"Desktop Computer, Other",No
FIRST PRIORITY LIFE INSURANCE COMPANY,PA,Business Associate,579,9/28/2011,"Theft, Unauthorized Access/Disclosure",Paper/Films,Yes
"Summit Medical Group, PLLC",TN,Healthcare Provider,731,9/28/2011,Theft,Paper/Films,No
Fairview Health Services,MN,Healthcare Provider,14623,9/27/2011,Theft,Laptop,No
North Memorial Health Care,MN,Healthcare Provider,9497,9/27/2011,Theft,Laptop,No
NYU Hospital for Joint Diseases Inventory Management Department,NY,Healthcare Provider,2600,9/26/2011,Theft,Paper/Films,No
VA Illiana Health Care System,IL,Healthcare Provider,518,9/23/2011,Loss,Paper/Films,No
"AllOne Health Management Solutions, Inc.",PA,Business Associate,507,9/23/2011,"Theft, Unauthorized Access/Disclosure","Laptop, Paper/Films",Yes
Health Texas Provider Network,TX,Healthcare Provider,1259,9/23/2011,Theft,Laptop,No
"Benefits Administration Services, Inc.",VA,Business Associate,4000,9/22/2011,Loss,"Other, Other Portable Electronic Device",Yes
"Bonney Lake Medical Center and Mythili R. Ramachandran, MD",WA,Healthcare Provider,2367,9/21/2011,Theft,"Desktop Computer, Laptop",No
VA Gulf Coast Veterans Health Care System,MS,Healthcare Provider,1797,9/20/2011,Theft,Paper/Films,No
Freda J Bowman  MD PA,TX,Healthcare Provider,1300,9/20/2011,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,No
"Diversified Resources, Inc.",GA,Healthcare Provider,863,9/15/2011,Theft,Laptop,No
"John T. Melvin, M.D.& Associates",TX,Healthcare Provider,2541,9/14/2011,Theft,Paper/Films,No
Living Healthy Community Clinic,WI,Business Associate,3000,9/13/2011,Hacking/IT Incident,Desktop Computer,Yes
Centro de Ortodoncia Inc.,PR,Healthcare Provider,2000,9/13/2011,Theft,Paper/Films,No
Texas Health and Human Services Commission,TX,Health Plan,1696,9/9/2011,Theft,Laptop,No
Jonathan Noel MD,IN,Healthcare Provider,2059,9/8/2011,Theft,"Other, Other Portable Electronic Device",No
"Muir Orthopaedic Specialists, A Medical Group Inc.",CA,Healthcare Provider,1800,9/7/2011,Theft,Paper/Films,No
NEA Baptist Clinic,AR,Healthcare Provider,3116,9/7/2011,Hacking/IT Incident,Network Server,No
"HEALTH RESEARCH INSTITUTE, INC., PFEIFFER TREATMENT CENTER",IL,Healthcare Provider,2000,8/29/2011,Theft,"Desktop Computer, Network Server",No
"Multi-Speciality Collection Services, LLC",CA,Business Associate,19651,8/29/2011,Unauthorized Access/Disclosure,Other,Yes
"SpaMed Solutions, LLC, Edward McMenamin President,",NJ,Business Associate,3000,8/28/2011,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device, Paper/Films",Yes
Lexington VAMC,KY,Healthcare Provider,1432,8/25/2011,Theft,"Laptop, Other Portable Electronic Device, Paper/Films",No
Capron Rescue Squad District,IL,Healthcare Provider,815,8/18/2011,Unauthorized Access/Disclosure,Laptop,No
MedAssets,NJ,Business Associate,32008,8/18/2011,Theft,"Other, Other Portable Electronic Device",Yes
